image_index,image_filename,decoded_bits,matched_bits,hamming_distance,similarity,raw_msg,key,is_best_match
24,"0_'attack'_ 'contrast', 'contrast_factor'_ 0.5.png",010011000110111101110010011001010101101001001010111100010110110100100000001000000010000011110111111101111011100100100000001000000010000000000000101110101110100001000001,011100110110100101110100001000001100001101011001001101110010000000100000001000000010000010010111010101001101110000100000001000000010000000000000101110101110100001000001,38,0.7738095238095238,sit        ,test,False
24,"0_'attack'_ 'contrast', 'contrast_factor'_ 0.5.png",010011000110111101110010011001010101101001001010111100010110110100100000001000000010000011110111111101111011100100100000001000000010000000000000101110101110100001000001,011000010110110101100101011101001011111001110011101111000010110000100000001000000010000000101101101101001011111000100000001000000010000000000000101110101110100001000001,36,0.7857142857142857,"amet,      ",test,False
24,"0_'attack'_ 'contrast', 'contrast_factor'_ 0.5.png",010011000110111101110010011001010101101001001010111100010110110100100000001000000010000011110111111101111011100100100000001000000010000000000000101110101110100001000001,011000110110111101101110011100110011101011000110100011100110010101100011011101000110010101100111111001001110100101110100011101010111001000000000011010010110000010010101,61,0.6369047619047619,consectetur,test,False
24,"0_'attack'_ 'contrast', 'contrast_factor'_ 0.5.png",010011000110111101110010011001010101101001001010111100010110110100100000001000000010000011110111111101111011100100100000001000000010000000000000101110101110100001000001,011000010110010001101001011100001110101001110000100010000110100101110011011000110110100100100101000111100101101101101110011001110010000000000000110000100111111110010100,72,0.5714285714285714,adipiscing ,test,False
24,"0_'attack'_ 'contrast', 'contrast_factor'_ 0.5.png",010011000110111101110010011001010101101001001010111100010110110100100000001000000010000011110111111101111011100100100000001000000010000000000000101110101110100001000001,011001010110110001101001011101001111011100010001001110100010111000100000001000000010000010101111100001100111110000100000001000000010000000000000101110101110100001000001,40,0.7619047619047619,elit.      ,test,False
24,"0_'attack'_ 'contrast', 'contrast_factor'_ 0.5.png",010011000110111101110010011001010101101001001010111100010110110100100000001000000010000011110111111101111011100100100000001000000010000000000000101110101110100001000001,011001000110101001100111011001000011110111000110101111110111001101100110001000000010000001001000110100000000010100100000001000000010000000000000101110101110100001000001,43,0.7440476190476191,djgdsf     ,test,False
25,"0_'attack'_ 'contrast', 'contrast_factor'_ 1.0.png",010011000110111101110010011001010101101001001010111100010110110100100000001000000010000011110111111101111011100100100000001000000010000000000000101110101110100001000001,010011000110111101110010011001010101101001001010111100010110110100100000001000000010000011110111111101111011100100100000001000000010000000000000101110101110100001000001,0,1.0,Lorem      ,test,True
25,"0_'attack'_ 'contrast', 'contrast_factor'_ 1.0.png",010011000110111101110010011001010101101001001010111100010110110100100000001000000010000011110111111101111011100100100000001000000010000000000000101110101110100001000001,011010010111000001110011011101010011110011001111111110010110110100100000001000000010000011110111111101111011100100100000001000000010000000000000101110101110100001000001,18,0.8928571428571429,ipsum      ,test,False
25,"0_'attack'_ 'contrast', 'contrast_factor'_ 1.0.png",010011000110111101110010011001010101101001001010111100010110110100100000001000000010000011110111111101111011100100100000001000000010000000000000101110101110100001000001,011001000110111101101100011011110101111011111110001110000111001000100000001000000010000001000101011110010101101000100000001000000010000000000000101110101110100001000001,35,0.7916666666666666,dolor      ,test,False
25,"0_'attack'_ 'contrast', 'contrast_factor'_ 1.0.png",010011000110111101110010011001010101101001001010111100010110110100100000001000000010000011110111111101111011100100100000001000000010000000000000101110101110100001000001,011100110110100101110100001000001100001101011001001101110010000000100000001000000010000010010111010101001101110000100000001000000010000000000000101110101110100001000001,38,0.7738095238095238,sit        ,test,False
25,"0_'attack'_ 'contrast', 'contrast_factor'_ 1.0.png",010011000110111101110010011001010101101001001010111100010110110100100000001000000010000011110111111101111011100100100000001000000010000000000000101110101110100001000001,011000010110110101100101011101001011111001110011101111000010110000100000001000000010000000101101101101001011111000100000001000000010000000000000101110101110100001000001,36,0.7857142857142857,"amet,      ",test,False
25,"0_'attack'_ 'contrast', 'contrast_factor'_ 1.0.png",010011000110111101110010011001010101101001001010111100010110110100100000001000000010000011110111111101111011100100100000001000000010000000000000101110101110100001000001,011000110110111101101110011100110011101011000110100011100110010101100011011101000110010101100111111001001110100101110100011101010111001000000000011010010110000010010101,61,0.6369047619047619,consectetur,test,False
25,"0_'attack'_ 'contrast', 'contrast_factor'_ 1.0.png",010011000110111101110010011001010101101001001010111100010110110100100000001000000010000011110111111101111011100100100000001000000010000000000000101110101110100001000001,011000010110010001101001011100001110101001110000100010000110100101110011011000110110100100100101000111100101101101101110011001110010000000000000110000100111111110010100,72,0.5714285714285714,adipiscing ,test,False
25,"0_'attack'_ 'contrast', 'contrast_factor'_ 1.0.png",010011000110111101110010011001010101101001001010111100010110110100100000001000000010000011110111111101111011100100100000001000000010000000000000101110101110100001000001,011001010110110001101001011101001111011100010001001110100010111000100000001000000010000010101111100001100111110000100000001000000010000000000000101110101110100001000001,40,0.7619047619047619,elit.      ,test,False
25,"0_'attack'_ 'contrast', 'contrast_factor'_ 1.0.png",010011000110111101110010011001010101101001001010111100010110110100100000001000000010000011110111111101111011100100100000001000000010000000000000101110101110100001000001,011001000110101001100111011001000011110111000110101111110111001101100110001000000010000001001000110100000000010100100000001000000010000000000000101110101110100001000001,43,0.7440476190476191,djgdsf     ,test,False
26,"0_'attack'_ 'contrast', 'contrast_factor'_ 1.5.png",000011000110111101110010011001010101101001000010111100010110110100100000001000000010000011110111111101111001100100100000001000000010000000000000100010101110100001000001,010011000110111101110010011001010101101001001010111100010110110100100000001000000010000011110111111101111011100100100000001000000010000000000000101110101110100001000001,5,0.9702380952380952,Lorem      ,test,True
26,"0_'attack'_ 'contrast', 'contrast_factor'_ 1.5.png",000011000110111101110010011001010101101001000010111100010110110100100000001000000010000011110111111101111001100100100000001000000010000000000000100010101110100001000001,011010010111000001110011011101010011110011001111111110010110110100100000001000000010000011110111111101111011100100100000001000000010000000000000101110101110100001000001,23,0.8630952380952381,ipsum      ,test,False
26,"0_'attack'_ 'contrast', 'contrast_factor'_ 1.5.png",000011000110111101110010011001010101101001000010111100010110110100100000001000000010000011110111111101111001100100100000001000000010000000000000100010101110100001000001,011001000110111101101100011011110101111011111110001110000111001000100000001000000010000001000101011110010101101000100000001000000010000000000000101110101110100001000001,38,0.7738095238095238,dolor      ,test,False
26,"0_'attack'_ 'contrast', 'contrast_factor'_ 1.5.png",000011000110111101110010011001010101101001000010111100010110110100100000001000000010000011110111111101111001100100100000001000000010000000000000100010101110100001000001,011100110110100101110100001000001100001101011001001101110010000000100000001000000010000010010111010101001101110000100000001000000010000000000000101110101110100001000001,41,0.7559523809523809,sit        ,test,False
26,"0_'attack'_ 'contrast', 'contrast_factor'_ 1.5.png",000011000110111101110010011001010101101001000010111100010110110100100000001000000010000011110111111101111001100100100000001000000010000000000000100010101110100001000001,011000010110110101100101011101001011111001110011101111000010110000100000001000000010000000101101101101001011111000100000001000000010000000000000101110101110100001000001,39,0.7678571428571428,"amet,      ",test,False
26,"0_'attack'_ 'contrast', 'contrast_factor'_ 1.5.png",000011000110111101110010011001010101101001000010111100010110110100100000001000000010000011110111111101111001100100100000001000000010000000000000100010101110100001000001,011000110110111101101110011100110011101011000110100011100110010101100011011101000110010101100111111001001110100101110100011101010111001000000000011010010110000010010101,62,0.6309523809523809,consectetur,test,False
